round,date,win_1_group,win_1_number,win_2_group,win_2_number,2nd_1_1_group,2nd_1_1_number,2nd_1_2_group,2nd_1_2_number,2nd_2_1_group,2nd_2_1_number,2nd_2_2_group,2nd_2_2_number,3rd,4th,5th,6th_1,6th_2,7th_1,7th_2
254,20160511,2,271735,7,825156,2,271734,2,271736,7,825155,7,825157,437016,96899,0906,21,30,7,8
255,20160518,1,143934,3,998605,1,143933,1,143935,3,998604,3,998606,186603,11593,0593,40,72,3,9
256,20160525,3,991890,7,854127,3,991889,3,991891,7,854126,7,854128,936874,98064,0367,02,22,1,5
257,20160601,4,697873,6,683634,4,697872,4,697874,6,683633,6,683635,697440,36785,0663,36,63,4,5
258,20160608,4,314437,5,128237,4,314436,4,314438,5,128236,5,128238,730719,72972,0780,46,62,3,7
259,20160615,2,454201,3,788831,2,454200,2,454202,3,788830,3,788832,544204,04811,0222,19,45,0,4
260,20160622,4,791579,6,389753,4,791578,4,791580,6,389752,6,389754,203004,68506,0764,86,95,1,4
261,20160629,4,583702,4,874929,4,583701,4,583703,4,874928,4,874930,441245,29092,0505,36,69,4,9
262,20160706,5,776706,5,809224,5,776705,5,776707,5,809223,5,809225,652526,43555,0715,43,92,5,7
263,20160713,2,545932,5,438800,2,545931,2,545933,5,438799,5,438801,778166,66933,0252,05,50,0,1
264,20160720,4,577372,5,147230,4,577371,4,577373,5,147229,5,147231,936391,95183,0020,27,59,6,8
265,20160727,1,551462,2,993337,1,551461,1,551463,2,993336,2,993338,744513,89215,0793,78,96,0,9
266,20160803,2,944969,3,594714,2,944968,2,944970,3,594713,3,594715,778901,34810,0841,49,82,0,2
267,20160810,5,594944,5,822790,5,594943,5,594945,5,822789,5,822791,593884,06301,0313,42,89,4,7
268,20160817,6,206892,6,554997,6,206891,6,206893,6,554996,6,554998,621545,10436,0823,05,21,0,8
269,20160824,7,166041,7,699039,7,166040,7,166042,7,699038,7,699040,783772,97088,0149,09,43,0,5
270,20160831,4,523411,5,862516,4,523410,4,523412,5,862515,5,862517,170490,73714,0551,32,81,2,4
271,20160907,2,726339,2,830620,2,726338,2,726340,2,830619,2,830621,133892,45050,0532,17,99,1,2
272,20160914,6,670571,7,212916,6,670570,6,670572,7,212915,7,212917,458465,15246,0875,25,51,0,5
273,20160921,2,813025,7,107806,2,813024,2,813026,7,107805,7,107807,547139,95577,0994,13,56,5,9
274,20160928,4,769933,5,479791,4,769932,4,769934,5,479790,5,479792,700528,41100,0861,03,19,1,8
275,20161005,1,475881,2,272698,1,475880,1,475882,2,272697,2,272699,924378,57040,0031,11,52,4,6
276,20161012,1,710155,6,834323,1,710154,1,710156,6,834322,6,834324,373865,71002,0019,54,92,1,7
277,20161019,2,447047,2,997606,2,447046,2,447048,2,997605,2,997607,240030,99355,0533,05,92,0,3
278,20161026,6,949206,7,496830,6,949205,6,949207,7,496829,7,496831,276654,58345,0993,40,87,1,9
279,20161102,5,330073,5,423157,5,330072,5,330074,5,423156,5,423158,623362,51505,0858,36,96,6,7
280,20161109,2,762804,7,872885,2,762803,2,762805,7,872884,7,872886,144475,87923,0049,11,59,0,9
281,20161116,4,500664,7,268014,4,500663,4,500665,7,268013,7,268015,966374,64275,0296,48,54,5,8
282,20161123,5,571052,7,317787,5,571051,5,571053,7,317786,7,317788,724333,64789,0278,44,74,2,6
283,20161130,1,491178,3,125694,1,491177,1,491179,3,125693,3,125695,426403,76639,0723,74,92,0,1
284,20161207,5,305476,7,232283,5,305475,5,305477,7,232282,7,232284,615742,08229,0210,17,88,2,8
285,20161214,6,228520,6,935339,6,228519,6,228521,6,935338,6,935340,320001,82347,0974,30,90,5,8
286,20161221,6,136195,7,570452,6,136194,6,136196,7,570451,7,570453,853367,44782,0188,58,84,5,7
287,20161228,5,448751,6,385751,5,448750,5,448752,6,385750,6,385752,434051,00399,0375,38,58,4,5
288,20170104,6,911785,7,458223,6,911784,6,911786,7,458222,7,458224,139729,96453,0288,72,90,1,7
289,20170111,2,135774,7,245774,2,135773,2,135775,7,245773,7,245775,708957,79400,0269,06,53,1,8
290,20170118,1,464817,2,783036,1,464816,1,464818,2,783035,2,783037,274786,89079,0758,05,98,5,6
291,20170125,3,448687,5,997055,3,448686,3,448688,5,997054,5,997056,789502,05881,0143,07,91,5,8
292,20170201,3,528858,7,888478,3,528857,3,528859,7,888477,7,888479,614847,98996,0712,21,69,4,8
293,20170208,1,645804,7,973059,1,645803,1,645805,7,973058,7,973060,226453,94999,0651,41,50,0,1
294,20170215,3,423873,5,410059,3,423872,3,423874,5,410058,5,410060,338041,96667,0859,69,76,1,2
295,20170222,1,320363,7,883126,1,320362,1,320364,7,883125,7,883127,654816,12041,0256,70,93,7,9
296,20170301,1,198255,1,582661,1,198254,1,198256,1,582660,1,582662,348711,67854,0304,67,72,4,5
297,20170308,1,394779,6,658109,1,394778,1,394780,6,658108,6,658110,699401,18703,0108,40,76,3,8
298,20170315,3,573682,5,477701,3,573681,3,573683,5,477700,5,477702,647957,96525,0218,05,66,4,9
299,20170322,1,660459,3,986997,1,660458,1,660460,3,986996,3,986998,475661,65339,0298,22,26,4,5
300,20170329,2,809927,4,526024,2,809926,2,809928,4,526023,4,526025,250116,24128,0453,64,88,1,7
301,20170405,2,563466,6,805724,2,563465,2,563467,6,805723,6,805725,509643,98218,0655,35,65,0,1
302,20170412,3,478359,6,696398,3,478358,3,478360,6,696397,6,696399,481789,84370,0172,23,72,1,9
303,20170419,4,177625,6,504935,4,177624,4,177626,6,504934,6,504936,771435,61134,0688,78,86,0,7
304,20170426,6,555518,6,862723,6,555517,6,555519,6,862722,6,862724,924298,81444,0123,28,70,2,9
305,20170503,2,700265,6,827314,2,700264,2,700266,6,827313,6,827315,602125,96947,0849,17,70,0,4
306,20170510,5,848461,7,166664,5,848460,5,848462,7,166663,7,166665,873475,24834,0948,51,55,1,8
307,20170517,3,337031,6,331013,3,337030,3,337032,6,331012,6,331014,108829,76579,0093,45,49,0,7
308,20170524,3,898268,4,447496,3,898267,3,898269,4,447495,4,447497,814589,61034,0081,26,78,6,9
309,20170531,1,934766,3,820799,1,934765,1,934767,3,820798,3,820800,127354,86239,0072,19,44,6,9
310,20170607,2,759227,6,440881,2,759226,2,759228,6,440880,6,440882,366861,69173,0747,53,81,0,3
311,20170614,5,331572,6,870804,5,331571,5,331573,6,870803,6,870805,234790,83575,0409,16,73,4,9
312,20170621,4,744735,5,394317,4,744734,4,744736,5,394316,5,394318,953125,88778,0289,04,43,4,6
313,20170628,3,968113,7,286251,3,968112,3,968114,7,286250,7,286252,542614,88168,0139,52,57,1,7
314,20170705,1,133009,7,594682,1,133008,1,133010,7,594681,7,594683,263371,98405,0629,39,80,2,3
315,20170712,3,816489,6,810638,3,816488,3,816490,6,810637,6,810639,701892,91069,0627,22,40,3,8
316,20170719,7,110831,7,216815,7,110830,7,110832,7,216814,7,216816,395107,04216,0742,10,36,1,2
317,20170726,5,324258,7,852577,5,324257,5,324259,7,852576,7,852578,228481,31525,0387,14,86,1,3
318,20170802,5,250400,7,380647,5,250399,5,250401,7,380646,7,380648,510983,38916,0322,05,75,3,6
319,20170809,6,105457,7,881253,6,105456,6,105458,7,881252,7,881254,807279,45416,0503,00,06,1,2
320,20170816,1,397191,7,760766,1,397190,1,397192,7,760765,7,760767,342326,33908,0547,80,99,4,7
321,20170823,1,236570,2,335908,1,236569,1,236571,2,335907,2,335909,775654,13180,0807,07,24,6,8
322,20170830,1,355720,4,593060,1,355719,1,355721,4,593059,4,593061,265740,39528,0390,19,79,6,9
323,20170906,2,353277,5,810618,2,353276,2,353278,5,810617,5,810619,208066,49621,0245,07,47,3,6
324,20170913,1,815298,7,130415,1,815297,1,815299,7,130414,7,130416,142530,57652,0067,21,70,1,3
325,20170920,2,146142,7,950966,2,146141,2,146143,7,950965,7,950967,969019,43628,0495,38,86,2,7
326,20170927,1,109486,5,548014,1,109485,1,109487,5,548013,5,548015,112216,71652,0721,29,70,4,5
327,20171004,3,409160,5,657420,3,409159,3,409161,5,657419,5,657421,882579,41834,0788,90,94,0,3
328,20171011,3,565986,4,675113,3,565985,3,565987,4,675112,4,675114,115486,61731,0454,35,85,0,2
329,20171018,3,533570,6,966141,3,533569,3,533571,6,966140,6,966142,842259,30378,0110,03,53,3,4
330,20171025,5,830387,7,263734,5,830386,5,830388,7,263733,7,263735,869327,42990,0366,28,58,1,3
331,20171101,4,425515,6,878775,4,425514,4,425516,6,878774,6,878776,578249,12250,0978,19,64,7,9
332,20171108,3,182628,4,202859,3,182627,3,182629,4,202858,4,202860,564191,55556,0624,08,43,5,9
333,20171115,4,939002,5,279426,4,939001,4,939003,5,279425,5,279427,684052,38238,0774,09,11,2,8
334,20171122,3,541536,5,845864,3,541535,3,541537,5,845863,5,845865,367400,61396,0777,28,85,0,7
335,20171129,3,809601,5,192607,3,809600,3,809602,5,192606,5,192608,172850,21193,0852,45,55,0,9
336,20171206,4,159580,4,940385,4,159579,4,159581,4,940384,4,940386,957765,71038,0518,03,80,0,9
337,20171213,2,769658,5,974476,2,769657,2,769659,5,974475,5,974477,938484,63569,0639,08,54,0,5
338,20171220,2,810489,5,394227,2,810488,2,810490,5,394226,5,394228,330200,30610,0435,14,92,7,9
339,20171227,5,448122,6,534043,5,448121,5,448123,6,534042,6,534044,477621,10013,0144,53,88,1,7
340,20180103,1,829747,6,736816,1,829746,1,829748,6,736815,6,736817,413562,28111,0929,32,52,2,9
341,20180110,6,277016,7,378038,6,277015,6,277017,7,378037,7,378039,295483,37697,0748,19,32,3,6
342,20180117,2,254521,5,793874,2,254520,2,254522,5,793873,5,793875,746377,46026,0758,37,66,3,8
343,20180124,5,400376,5,405388,5,400375,5,400377,5,405387,5,405389,653712,23473,0157,13,81,5,6
344,20180131,4,918380,5,926305,4,918379,4,918381,5,926304,5,926306,956019,42970,0533,00,01,0,3
345,20180207,6,566427,7,779641,6,566426,6,566428,7,779640,7,779642,900972,62393,0467,08,95,0,2
346,20180214,1,223458,4,659796,1,223457,1,223459,4,659795,4,659797,242568,58782,0241,01,56,0,2
347,20180221,4,662653,6,791983,4,662652,4,662654,6,791982,6,791984,285449,14766,0656,49,84,2,6
348,20180228,5,604503,6,697794,5,604502,5,604504,6,697793,6,697795,296973,43214,0855,07,49,2,5
349,20180307,4,760866,4,860758,4,760865,4,760867,4,860757,4,860759,276934,34182,0183,34,91,5,8
350,20180314,2,223260,7,985921,2,223259,2,223261,7,985920,7,985922,594810,48720,0687,48,59,0,4
351,20180321,5,271426,7,608075,5,271425,5,271427,7,608074,7,608076,316356,38237,0004,20,30,2,6
352,20180328,1,262433,3,522895,1,262432,1,262434,3,522894,3,522896,336603,41527,0959,08,20,1,9
353,20180404,5,773162,6,882071,5,773161,5,773163,6,882070,6,882072,806962,11860,0978,27,59,1,8
354,20180411,2,485280,6,277262,2,485279,2,485281,6,277261,6,277263,722917,48126,0989,35,53,3,9
355,20180418,5,676175,5,710496,5,676174,5,676176,5,710495,5,710497,440835,85168,0555,10,39,6,9
356,20180425,1,971804,3,187119,1,971803,1,971805,3,187118,3,187120,967715,25287,0469,00,23,5,7
357,20180502,3,303778,5,733021,3,303777,3,303779,5,733020,5,733022,617722,00738,0943,04,60,3,6
358,20180509,2,301731,4,648348,2,301730,2,301732,4,648347,4,648349,515984,19110,0766,14,91,6,7
359,20180516,4,463232,7,816807,4,463231,4,463233,7,816806,7,816808,711790,59019,0235,56,68,4,5
360,20180523,3,789644,6,138392,3,789643,3,789645,6,138391,6,138393,121766,73963,0936,20,94,1,7
